			org1 (Host/Predator)						org2 (Symbiont/Parasite/Prey)												
																					
Observation type	Taxonomic interaction 	Interaction	Accession org1	Taxonomic level 1: org1	Taxonomic level 2: org1	Taxonomic level 3: org1	Genus org1	Species org1	Accession org2	Taxonomic level 1: org2	Taxonomic level 2: org2	Taxonomic level 3: org2	Genus org2	Species org2	Reference 	Link	Database	Interaction_ID	Ecological interaction	Habitat	Source
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	Caenomorpha	NA	AJ132651	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	MicroEcoSystems	ID_27	methanogenic symbiont	Marine	sediment
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	Caenomorpha	NA	AJ132652	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	MicroEcoSystems	ID_28	methanogenic symbiont	Marine	sediment
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	Caenomorpha	NA	AJ132653	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	MicroEcoSystems	ID_29	methanogenic symbiont	Marine	sediment
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Amphiprora	kufferathii	EF490378	Prokaryote	Bacteroidetes	Flavobacteriia	Pibocella	NA	Hünken 2008	10.1111/j.1438-8677.2008.00040.x	MicroEcoSystems	ID_30	mutualism	Marine	Antarctic sea ice
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Histioneis	para	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	MicroEcoSystems	ID_71	nitrogen fixation	Marine	Water samples (Northern end of the Gulf of Aqaba)
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Histioneis	dulvia	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	MicroEcoSystems	ID_72	nitrogen fixation	Marine	Water samples (Northern end of the Gulf of Aqaba)
3	Prot - Bac	symb	NA	Eukaryote	Stramenopiles	Diatomea	Hemiaulus	NA	NA	Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Foster et al 2011	10.1038/ismej.2011.26	MicroEcoSystems	ID_33	nitrogen fixation	Marine	water samples, open ocean
3	Prot - Bac	symb	NA	Eukaryote	Stramenopiles	Diatomea	Chaetoceros	NA	NA	Prokaryote	Cyanobacteria	Cyanophyceae	Calothrix	rhizosolenia	Foster et al 2011	10.1038/ismej.2011.26	MicroEcoSystems	ID_34	nitrogen fixation	Marine	water samples, open ocean
3	Prot - Bac	symb	NA	Eukaryote	Stramenopiles	Diatomea	Climacodium	NA	NA	Prokaryote	Cyanobacteria	Cyanophyceae	Crocosphaera	watsonii	Foster et al 2011	10.1038/ismej.2011.26	MicroEcoSystems	ID_35	nitrogen fixation	Marine	water samples, open ocean
3	Prot - Bac	symb	NA	Eukaryote	Stramenopiles	Diatomea	Hemiaulus	hauckii	NA	Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Hilton 2013	10.1038/ncomms2748	MicroEcoSystems	ID_36	nitrogen fixation	Marine	Gulf of Mexico
3	Prot - Bac	symb	NA	Eukaryote	Stramenopiles	Diatomea	Hemiaulus	membranaceus	NA	Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Hilton 2013	10.1038/ncomms2748	MicroEcoSystems	ID_37	nitrogen fixation	Marine	Gulf of Mexico
1	Prot - Bac	symb	NA	Eukaryote	Stramenopiles	Diatomea	Hemiaulus	hauckii	NA	Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Kimor et al. 1992	10.1093/plankt/14.9.1217	MicroEcoSystems	ID_38	nitrogen fixation	Marine	NA
1	Prot - Bac	symb	NA	Eukaryote	Stramenopiles	Diatomea	Rhizosolenia	hebetata	NA	Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Kimor et al. 1992	10.1093/plankt/14.9.1217	MicroEcoSystems	ID_39	nitrogen fixation	Marine	NA
1	Prot - Bac	symb	NA	Eukaryote	Stramenopiles	Diatomea	Hemiaulus	sinensis	NA	Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Gárate-Lizárraga 2009	http://abm.ojs.inecol.mx/index.php/abm/article/view/311	MicroEcoSystems	ID_40	nitrogen fixation	Marine	water samples (California)
1	Prot - Bac	symb	NA	Eukaryote	Stramenopiles	Diatomea	Hemiaulus	hauckii	NA	Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Gárate-Lizárraga 2009	http://abm.ojs.inecol.mx/index.php/abm/article/view/311	MicroEcoSystems	ID_41	nitrogen fixation	Marine	water samples (California)
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196900	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor	NA	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_42	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196901	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor	NA	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_43	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196902	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor	NA	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_44	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196903	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor	NA	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_45	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196904	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor	NA	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_46	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196905	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor	NA	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_47	nitrogen fixation	Marine	Open ocean
